ell,L,resolution,timestep,Lambda,r_black_hole,r_cosmological,kappa_cosmological,kappa_inverse,evolution_timescales,retarded_time_offset,maximum_constraint_linf,trust_time_1_percent,trust_time_5_percent,trust_time_10_percent,intermediate_power_fit,intermediate_power_fit_error,exponential_fit,gamma_over_kappa,constant_start,constant_end,constant_value,constant_standard_deviation,constant_half_interval_drift,constant_relative_half_interval_drift,constant_points,intermediate_kind,intermediate_start,intermediate_end,intermediate_rate,intermediate_slope,intermediate_intercept,intermediate_r_squared,intermediate_points,intermediate_amplitude_floor,exponential_fit_error,exponential_kind,exponential_start,exponential_end,exponential_rate,exponential_slope,exponential_intercept,exponential_r_squared,exponential_points,exponential_amplitude_floor
0,20.0,1024,0.005,0.0075,2.0206251576202168,18.91298547847183,0.04448683286232328,22.478561310371873,5.338419943478794,2.461850110309174,4.791822872138341e-09,nan,nan,nan,,Not enough samples to select a stable power-law window.,,,91.13814988969084,117.53814988969083,0.7682594073840157,3.1930581268421736e-05,5.5283194797195456e-05,7.195902095808904e-05,528,,,,,,,,,,,,,,,,,,,
0,40.0,1024,0.005,0.001875,2.0050378793509025,38.959774129251116,0.02369103827777671,42.210053788062396,5.0,2.597389463167362,2.8757932827804652e-09,nan,nan,nan,,Not enough samples to select a stable power-law window.,,,162.02182031027598,208.45287947714462,0.3574699763550104,1.9028917617583637e-06,3.0552781836168386e-06,8.546950473352712e-06,930,,,,,,,,,,,,,,,,,,,
0,80.0,1024,0.005,0.00046875,2.0012523496262125,78.98059813298828,0.012180408993848391,82.0990494247805,5.0,2.6791369725882506,1.5015805295636736e-09,nan,nan,nan,,No resolved stable power-law interval was found.,,,317.5071557840557,407.81611015131426,0.1745137074174652,4.1571036498726746e-07,6.685036693931945e-07,3.830665678278354e-06,1807,,,,,,,,,,,,,,,,,,,
0,160.0,1024,0.005,0.0001171875,2.0003126465759937,158.99046547057517,0.0061710049157578505,162.04816130456635,5.0,2.724272458022873,4.815345810525025e-09,nan,nan,nan,,,,,629.263556629786,807.5165340648089,0.0864681759535079,9.856444082866654e-08,1.5805303145433047e-07,1.8278751657640173e-06,3566,power,58.92572754199021,100.57572754195567,0.002406162852069456,-0.002406162852069456,-2.464983268507876,0.005537806723366345,834,2.748803463685642e-13,,,,,,,,,,
1,20.0,1024,0.005,0.0075,2.0206251576202168,18.91298547847183,0.04448683286232328,22.478561310371873,5.338419943478794,2.461850110309174,7.330950845938502e-10,nan,nan,nan,,Not enough samples to select a stable power-law window.,,,,,,,,,,,,,,,,,,,No exponential interval passed the stability and fit-quality criteria.,,,,,,,,,
1,40.0,1024,0.005,0.001875,2.0050378793509025,38.959774129251116,0.02369103827777671,42.210053788062396,5.0,2.597389463167362,1.0593229937036841e-09,nan,nan,nan,,Not enough samples to select a stable power-law window.,,1.0518408892789466,,,,,,,,,,,,,,,,,,exponential,158.35261053675876,208.45287947714462,0.02491920277003822,-0.02491920277003822,-7.202870112503271,0.9997367360179766,1004,2.2872587115575345e-13
1,80.0,1024,0.005,0.00046875,2.0012523496262125,78.98059813298828,0.012180408993848391,82.0990494247805,5.0,2.6791369725882506,6.058448388737985e-10,nan,nan,36.57086302737605,,,,1.0445404198667538,,,,,,,,power,35.02086302741258,70.02086302741812,5.065189416737709,-5.065189416737709,14.757397524205373,0.5721372079107158,701,2.202194079970919e-13,,exponential,232.27086302727056,314.32086302719597,0.012722929524583182,-0.012722929524583182,-9.32106186022592,0.9999542772552951,1642,2.202194079970919e-13
1,160.0,1024,0.005,0.0001171875,2.0003126465759937,158.99046547057517,0.0061710049157578505,162.04816130456635,5.0,2.724272458022873,8.606494871601776e-10,nan,45.975727541932834,79.17572754190265,,,,1.061292045608606,,,,,,,,power,43.175727541982155,129.62572754192925,7.602476662568835,-7.602476662568835,25.105215912189767,0.8709815561700294,1730,2.165882266028067e-13,,exponential,397.8757275416853,559.875727541538,0.0065492384305054115,-0.0065492384305054115,-11.383689797179342,0.9996868429256403,3241,2.165882266028067e-13
2,20.0,2048,0.0025,0.0075,2.0206251576202168,18.91298547847183,0.04448683286232328,22.478561310371873,6.000000000000001,2.461850110309174,2.4397558775008174e-09,nan,nan,nan,,Not enough samples to select a stable power-law window.,,,,,,,,,,,,,,,,,,,No exponential interval passed the stability and fit-quality criteria.,,,,,,,,,
2,40.0,2048,0.0025,0.001875,2.0050378793509025,38.959774129251116,0.02369103827777671,42.210053788062396,6.0,2.597389463167362,5.8798820493675294e-09,nan,nan,nan,,Not enough samples to select a stable power-law window.,,,,,,,,,,,,,,,,,,,No exponential interval passed the stability and fit-quality criteria.,,,,,,,,,
2,80.0,2048,0.0025,0.00046875,2.0012523496262125,78.98059813298828,0.012180408993848391,82.0990494247805,6.0,2.6791369725882506,3.431357800730432e-09,nan,nan,nan,,,,1.924875750463063,,,,,,,,power,35.020863027413704,70.02086302738188,4.771012867732734,-4.771012867732734,12.717401593774543,0.5283634768407013,701,1.5857584508224548e-13,,exponential,210.77086302725388,292.82086302717926,0.023445773902980964,-0.023445773902980964,-13.421633912950186,0.9986511554515181,1642,1.5857584508224548e-13
2,160.0,2048,0.0025,0.0001171875,2.0003126465759937,158.99046547057517,0.0061710049157578505,162.04816130456635,5.0,2.724272458022873,5.203100330808386e-09,nan,nan,110.92572754187377,,,,1.702380911927639,,,,,,,,power,46.22572754196885,129.625727541893,8.070096330457984,-8.070096330457984,26.271118368821817,0.8575969670464609,1669,1.5482111951863083e-13,,exponential,305.0257275417335,559.8757275426523,0.010505400975997793,-0.010505400975997793,-16.69193152261936,0.999462860057693,5098,1.5482111951863083e-13
